Item Name,Category,Visibility,Shipping Enabled,Description,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,SKU,Price,Original Variation ID
“Golden Eye Sigil” Premium Sweatshirt,Apparel,visible,Y,"The Golden Eye Sigil crewneck looks like an ancient symbol fused with cosmic energy—glowing gold lines, a luminous eye at the center, and a halo of crackling light around it. It’s the kind of piece that feels like protection, vision, and intention all in one. Clean black base, high-impact center graphic, and a vibe that lands somewhere between sacred geometry and sci-fi artifact. Key features: Bold center-chest “eye sigil” graphic with radiant gold tones Premium crewneck look—easy to dress up or down Cozy mid-weight warmth for year-round wear Clean fit that layers perfectly under jackets Fit note: Unisex fit. True-to-size for a classic look; size up for a roomier streetwear fit.",Size,S,,,696D58339B613_5498,46.0,NZKH7JYLKGL7UDUQVYYX33AM
“Golden Eye Sigil” Premium Sweatshirt,Apparel,visible,Y,"The Golden Eye Sigil crewneck looks like an ancient symbol fused with cosmic energy—glowing gold lines, a luminous eye at the center, and a halo of crackling light around it. It’s the kind of piece that feels like protection, vision, and intention all in one. Clean black base, high-impact center graphic, and a vibe that lands somewhere between sacred geometry and sci-fi artifact. Key features: Bold center-chest “eye sigil” graphic with radiant gold tones Premium crewneck look—easy to dress up or down Cozy mid-weight warmth for year-round wear Clean fit that layers perfectly under jackets Fit note: Unisex fit. True-to-size for a classic look; size up for a roomier streetwear fit.",Size,M,,,696D58339B613_5499,46.0,JBPTNJ6SKMBOS2GBVBSLZ575
“Golden Eye Sigil” Premium Sweatshirt,Apparel,visible,Y,"The Golden Eye Sigil crewneck looks like an ancient symbol fused with cosmic energy—glowing gold lines, a luminous eye at the center, and a halo of crackling light around it. It’s the kind of piece that feels like protection, vision, and intention all in one. Clean black base, high-impact center graphic, and a vibe that lands somewhere between sacred geometry and sci-fi artifact. Key features: Bold center-chest “eye sigil” graphic with radiant gold tones Premium crewneck look—easy to dress up or down Cozy mid-weight warmth for year-round wear Clean fit that layers perfectly under jackets Fit note: Unisex fit. True-to-size for a classic look; size up for a roomier streetwear fit.",Size,L,,,696D58339B613_5500,46.0,YQCKHNJ3FSRRZCGDXPW5YDLH
“Golden Eye Sigil” Premium Sweatshirt,Apparel,visible,Y,"The Golden Eye Sigil crewneck looks like an ancient symbol fused with cosmic energy—glowing gold lines, a luminous eye at the center, and a halo of crackling light around it. It’s the kind of piece that feels like protection, vision, and intention all in one. Clean black base, high-impact center graphic, and a vibe that lands somewhere between sacred geometry and sci-fi artifact. Key features: Bold center-chest “eye sigil” graphic with radiant gold tones Premium crewneck look—easy to dress up or down Cozy mid-weight warmth for year-round wear Clean fit that layers perfectly under jackets Fit note: Unisex fit. True-to-size for a classic look; size up for a roomier streetwear fit.",Size,XL,,,696D58339B613_5501,46.0,DU5OIUYIVNKNBT3UZOYTGA6E
“Golden Eye Sigil” Premium Sweatshirt,Apparel,visible,Y,"The Golden Eye Sigil crewneck looks like an ancient symbol fused with cosmic energy—glowing gold lines, a luminous eye at the center, and a halo of crackling light around it. It’s the kind of piece that feels like protection, vision, and intention all in one. Clean black base, high-impact center graphic, and a vibe that lands somewhere between sacred geometry and sci-fi artifact. Key features: Bold center-chest “eye sigil” graphic with radiant gold tones Premium crewneck look—easy to dress up or down Cozy mid-weight warmth for year-round wear Clean fit that layers perfectly under jackets Fit note: Unisex fit. True-to-size for a classic look; size up for a roomier streetwear fit.",Size,2XL,,,696D58339B613_5502,46.0,LFW5XNMCXSL4MPEEJBAEF2US
“Golden Eye Sigil” Premium Sweatshirt,Apparel,visible,Y,"The Golden Eye Sigil crewneck looks like an ancient symbol fused with cosmic energy—glowing gold lines, a luminous eye at the center, and a halo of crackling light around it. It’s the kind of piece that feels like protection, vision, and intention all in one. Clean black base, high-impact center graphic, and a vibe that lands somewhere between sacred geometry and sci-fi artifact. Key features: Bold center-chest “eye sigil” graphic with radiant gold tones Premium crewneck look—easy to dress up or down Cozy mid-weight warmth for year-round wear Clean fit that layers perfectly under jackets Fit note: Unisex fit. True-to-size for a classic look; size up for a roomier streetwear fit.",Size,3XL,,,696D58339B613_5503,46.0,5ZHENHY3DDY5LJ52XKWB3WK6
“Golden Eye Sigil” Premium Sweatshirt,Apparel,visible,Y,"The Golden Eye Sigil crewneck looks like an ancient symbol fused with cosmic energy—glowing gold lines, a luminous eye at the center, and a halo of crackling light around it. It’s the kind of piece that feels like protection, vision, and intention all in one. Clean black base, high-impact center graphic, and a vibe that lands somewhere between sacred geometry and sci-fi artifact. Key features: Bold center-chest “eye sigil” graphic with radiant gold tones Premium crewneck look—easy to dress up or down Cozy mid-weight warmth for year-round wear Clean fit that layers perfectly under jackets Fit note: Unisex fit. True-to-size for a classic look; size up for a roomier streetwear fit.",Size,4XL,,,696D58339B613_5504,46.0,Z7UXSMF5ELTTFJEQTFL6XHLI
“Golden Eye Sigil” Premium Sweatshirt,Apparel,visible,Y,"The Golden Eye Sigil crewneck looks like an ancient symbol fused with cosmic energy—glowing gold lines, a luminous eye at the center, and a halo of crackling light around it. It’s the kind of piece that feels like protection, vision, and intention all in one. Clean black base, high-impact center graphic, and a vibe that lands somewhere between sacred geometry and sci-fi artifact. Key features: Bold center-chest “eye sigil” graphic with radiant gold tones Premium crewneck look—easy to dress up or down Cozy mid-weight warmth for year-round wear Clean fit that layers perfectly under jackets Fit note: Unisex fit. True-to-size for a classic look; size up for a roomier streetwear fit.",Size,5XL,,,696D58339B613_5505,46.0,FIBWWRDPCJTAELSGUJIWN25M
A,Utility,visible,Y,"Who knew that the softest hoodie you'll ever own comes with such a cool design. You won't regret buying this classic streetwear piece of apparel with a convenient pouch pocket and warm hood for chilly evenings. • 100% cotton face • 65% ring-spun cotton, 35% polyester • Front pouch pocket • Self-fabric patch on the back • Matching flat drawstrings • 3-panel hood • Blank product sourced from Pakistan Disclaimer: This hoodie runs small. For the perfect fit, we recommend ordering one size larger than your usual size.",Size,One Size,,,698C177BE5E85_13921,48.0,YXH522MERZACXMY63NRFBUKT
AeroVista “Apex Draft” Pullover Hoodie,Apparel,visible,Y,"The AeroVista Apex Draft hoodie features a strong, clean front graphic that instantly reads premium on black. Built for daily wear, built for the mission—whether you’re creating, building, or just moving through the world like you’ve got something in motion. Apparel: Unisex premium mid-weight pullover hoodie",Color,Black,Size,S,694BABA9CED4F_10779,57.0,CPMLDAUFKCAE75V46BQXT2F5
